Group_by_Min	pathway
Amino acid	"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"
Carbohydrate	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
Amino acid	Arginine and proline metabolism - Homo sapiens (human)
Amino acid	Arginine biosynthesis - Homo sapiens (human)
Amino acid	beta-Alanine metabolism - Homo sapiens (human)
Lipid	Bile secretion - Homo sapiens (human)
Lipid	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)
Carbohydrate	Carbohydrate digestion and absorption - Homo sapiens (human)
Lipid	Cholesterol metabolism - Homo sapiens (human)
TCA cycle	Citrate cycle (TCA cycle) - Homo sapiens (human)
Amino acid	Cysteine and methionine metabolism - Homo sapiens (human)
Amino acid	D-Arginine and D-ornithine metabolism - Homo sapiens (human)
Amino acid-other	D-Glutamine and D-glutamate metabolism - Homo sapiens (human)
Lipid	Fatty acid biosynthesis - Homo sapiens (human)
Lipid	Fatty acid degradation - Homo sapiens (human)
Lipid	Fatty acid elongation - Homo sapiens (human)
Other metabolites	Folate biosynthesis - Homo sapiens (human)
Carbohydrate	Fructose and mannose metabolism - Homo sapiens (human)
Carbohydrate	Galactose metabolism - Homo sapiens (human)
Amino acid	Glutamatergic synapse - Homo sapiens (human)
Amino acid-other	Glutathione metabolism - Homo sapiens (human)
Glycan	Glycerolipid metabolism - Homo sapiens (human)
Glycan	Glycerophospholipid metabolism - Homo sapiens (human)
Amino acid	"Glycine, serine and threonine metabolism - Homo sapiens (human)"
Glycolysis	Glycolysis / Gluconeogenesis - Homo sapiens (human)
Glycan	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)
Glycan	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)
Glycan	Glycosaminoglycan degradation - Homo sapiens (human)
Glycan	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)
Glycan	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)
Glycan	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)
Glycan	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)
Carbohydrate	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
Amino acid	Histidine metabolism - Homo sapiens (human)
Lipid	Linoleic acid metabolism - Homo sapiens (human)
Lipid	Lipoic acid metabolism - Homo sapiens (human)
Amino acid	Lysine degradation - Homo sapiens (human)
Glycan	Mannose type O-glycan biosynthesis - Homo sapiens (human)
xenobiotics	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
Glycan	N-Glycan biosynthesis - Homo sapiens (human)
NAD	Nicotinate and nicotinamide metabolism - Homo sapiens (human)
NAD	Nicotine addiction - Homo sapiens (human)
Urea	Nitrogen metabolism - Homo sapiens (human)
ETC	Oxidative phosphorylation - Homo sapiens (human)
PPP	Pentose and glucuronate interconversions - Homo sapiens (human)
PPP	Pentose phosphate pathway - Homo sapiens (human)
Amino acid	Phenylalanine metabolism - Homo sapiens (human)
Amino acid	"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"
Lipid	Primary bile acid biosynthesis - Homo sapiens (human)
Nucleotide	Purine metabolism - Homo sapiens (human)
Nucleotide	Pyrimidine metabolism - Homo sapiens (human)
Glycolysis	Pyruvate metabolism - Homo sapiens (human)
Cofactor	Riboflavin metabolism - Homo sapiens (human)
Carbohydrate	Starch and sucrose metabolism - Homo sapiens (human)
Lipid	Steroid biosynthesis - Homo sapiens (human)
Lipid	Steroid hormone biosynthesis - Homo sapiens (human)
Amino acid	Sulfur metabolism - Homo sapiens (human)
Cofactor	Sulfur relay system - Homo sapiens (human)
Ketone	Synthesis and degradation of ketone bodies - Homo sapiens (human)
Amino acid	Taurine and hypotaurine metabolism - Homo sapiens (human)
Amino acid	Tryptophan metabolism - Homo sapiens (human)
Amino acid	Tyrosine metabolism - Homo sapiens (human)
Terpenoid	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)
Amino acid	"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"
Amino acid	"Valine, leucine and isoleucine degradation - Homo sapiens (human)"
Cofactor	Vitamin B6 metabolism - Homo sapiens (human)
Cofactor	Vitamin digestion and absorption - Homo sapiens (human)
