Group	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S3	BM-S3	BM-S3	BM-S3	BM-S3	BM-S3	BM-S4	BM-S4	BM-S4	BM-S4	BM-S4	BM-S4	BM-S5	BM-S5	BM-S5	BM-S5	BM-S5	BM-S5	BM-S6	BM-S6	BM-S6	BM-S6	BM-S6	BM-S6
GLUTAMATE	0.695420236	0.641818786	0.577941031	0.596690143	0.316295543	0.316542024	0.220913253	0.988549268	0.986642814	1.833057764	1.504656231	0.689786115	0.66944966	1.325715342	1.117420902	1.416286881	1.996257063	1.560533649	1.657412832	1.238833978	0.971034861	0.790131161	1.001729639	0.732053082	1.266217279	0.97113725	0.78595095	0.642356473	0.620895285	0.61063751	1.215253925	1.032206837	0.897745726	0.774945479	1.169258508	1.015638668	0.505802535	1.497999808	0.920361493	1.172743417	0.625192776	0.906015111	0.521294171	0.902624419	0.439290362	0.531149921	0.294298032	0.448801009	1.016589227	0.593158805	0.540471978	0.48032911	0.630577294	0.413071342	0.322699103	0.482019118
GLUTAMINE	0.46327918	1.083196744	0.674776124	0.678552413	0.001297154	0.001317818	0.001294544	0.355795303	0.411387163	0.279492595	0.264711252	0.000945707	0.000508812	1.667816938	0.676860527	1.033807833	0.423210092	0.64705519	1.694655407	0.957079069	1.156476987	0.886443944	1.597738032	0.447899807	0.954362161	1.785895665	0.925144792	1.721411777	1.337620598	1.043598398	0.894251084	0.5669145	0.960808223	0.868156913	0.373412226	0.961360575	0.760995517	0.358734322	0.780469485	0.557700545	0.764563966	1.306007869	1.039051604	0.576555238	2.295442493	0.827672146	0.530253642	1.386466535	1.327548828	0.863071253	1.703348344	1.686532326	3.13147937	3.238725674	3.776581597	3.622718524
10-HYDROXYDECANOATE	0.000466794	0.000363947	0.000362975	0.429748942	0.000553996	0.990584428	0.000552881	0.000249754	0.000232091	0.000185708	0.000150908	0.047171463	0.229422356	0.107080754	0.210958831	0.00118272	5.039331855	0.000799685	0.95852996	0.00305729	0.002833142	2.994109568	0.00093053	0.627432437	2.371637034	4.230788121	0.001882466	0.003583305	0.002570628	1.196208675	0.00092355	0.136402089	0.002578903	0.002059632	0.001333685	0.001542847	0.004184546	0.0012655	2.099567684	0.001457011	0.002236818	1.95000414	0.001363786	0.001291869	0.004255298	0.003951411	0.003638179	0.00269127	0.001542389	0.001562115	0.002829491	0.003555266	0.003659042	0.003009973	9.976815409	0.004083157
1-METHYL-L-HISTIDINE	0.633261318	0.006791859	0.00677372	0.006243913	0.010338482	0.01050318	0.01031768	0.303757599	0.041202778	1.660207	0.84360753	0.007537407	0.008151353	0.0065232	0.005020161	0.269697231	0.572836027	1.323508261	0.47677929	0.342113246	0.566489487	2.091397267	0.017365222	0.015299607	2.967335171	1.457231341	0.300775412	2.423115054	1.492214726	0.918498299	0.460829283	0.332686568	0.89492697	0.62494277	0.096513433	0.711535301	0.736980589	0.379924714	1.57444094	0.970427548	1.700605143	0.732660439	2.064995759	0.646902624	5.188610244	2.545968503	1.245559413	1.098172554	0.469560495	1.155425938	1.194796821	3.498598672	0.031876781	1.671022359	0.521924302	2.389566479
"2',4'-DIHYDROXYACETOPHENONE"	0.592249765	0.587535251	0.048465266	0.028113584	0.019345826	0.000112895	0.10731216	0.02340322	0.029527038	0.013954757	0.009397125	0.000967343	0.018996791	0.353532338	0.030845014	1.005693731	0.257297292	0.267772817	0.267035384	0.993976737	1.037418521	0.968604742	0.756247238	0.737553052	1.50619971	0.703285875	0.530203705	0.912643296	0.498376137	0.529976396	0.207172107	0.185588264	0.645809606	1.017841187	0.339693547	0.439047692	1.134848827	0.340462174	0.730768929	0.522484974	0.872130704	0.436857121	0.883619416	0.421636854	0.651524797	1.27789654	1.199290924	0.490135239	0.396968591	0.587995059	0.794572794	1.76609508	1.356404272	1.34647193	4.471319316	1.130237116
2-ETHYLOCTANEDIOATE	2.00E-05	0.168626488	0.017975868	0.168078461	0.399497632	0.003635627	0.035783003	1.07E-05	0.058759537	7.96E-06	0.076825295	0.174600738	0.0294992	0.384270897	0.240976562	0.99732821	0.969479995	0.172842835	5.93E-05	2.999659504	0.000187234	0.000153262	0.158787404	0.756771327	2.084441269	0.000150896	0.000124406	0.00023681	0.762799141	1.549331357	6.10E-05	0.991928994	0.000170432	0.000136115	2.461394343	0.396508348	0.000276544	0.830872485	7.4083086	9.63E-05	0.000147824	0.000100604	9.01E-05	8.54E-05	0.00028122	0.000261137	0.000240436	0.000177858	1.558960802	0.000103235	0.000186992	4.779591267	0.000241815	0.00019892	0.00033335	0.000269843
2-HYDROXYBUTYRATE	0.406798768	0.406101769	0.416556242	0.448323717	0.529126186	0.564907957	0.545980437	0.196719149	0.223905576	0.201991092	0.165363649	0.399531212	0.422588429	0.349585573	0.358703774	0.4511348	0.376879508	0.408368646	0.270976946	0.913718487	0.995849735	1.090431778	0.99544982	0.666802908	1.337747272	0.476741943	0.522469317	1.328935407	1.080081261	0.835849232	0.331418132	0.161157757	1.528362664	0.637507395	0.51669869	0.389196988	1.048799799	0.385275705	1.746291255	0.874680914	1.107297631	0.662758073	0.759917976	0.545313483	1.758603292	1.58492862	1.439973855	0.545881464	0.651835431	0.806294452	0.70490773	2.251683757	1.425232044	1.416117896	1.481274597	1.539811298
2-HYDROXYGLUTARIC	0.683450751	0.50394103	0.629929133	0.441621839	0.689330141	0.533647382	0.57201557	0.300494312	0.301757737	0.192281333	0.127571024	0.467732302	0.505025913	0.433959584	0.31322436	0.848929531	0.619969507	0.650175877	0.810536739	1.64163785	1.228170851	0.130191299	1.050406701	0.60309374	1.346499559	1.762996475	1.436436744	1.784217935	0.431334465	0.839826658	0.46048168	0.361760648	1.50295131	0.724698426	0.621968645	0.005963062	1.175824868	0.489254046	0.960351796	0.514295833	0.450883635	0.22742558	1.06838936	0.5810235	1.769202943	1.269359257	1.487511836	0.000444149	0.547493355	0.444219651	1.558016248	1.191781842	1.071034746	1.57997182	2.840965621	2.847507045
2-HYDROXYPYRIDINE	0.333787104	0.501929694	0.661261471	0.970305445	2.649789367	2.440950838	2.18270539	0.218427462	0.172936996	0.124025049	0.126093096	0.885022554	0.936101843	0.562458158	0.47218418	1.371211299	0.177188621	0.1780553	0.222889792	1.201195923	1.343277706	0.455526371	1.118509018	0.890101346	0.991389637	0.688700055	1.234651776	5.611128006	0.287842202	0.50017767	0.232778674	0.666507753	5.217278727	2.279180897	0.302168351	0.31004983	0.521316759	0.085579297	1.112226776	0.226086161	1.040103818	4.406110183	0.298421323	0.560125222	14.13084773	1.868071588	36.68455815	0.740360847	0.27139972	0.547146947	9.210512909	1.455273797	2.861553744	3.721469755	5.742092319	1.993774377
2-METHYLGLUTARATE	0.039738899	0.12720107	0.220970245	0.058380609	0.024792776	0.118125473	0.028479342	0.013496418	0.034159852	0.073366683	0.021081279	2.19E-05	0.053042115	0.163459694	0.112125411	1.034539018	0.955856704	0.73829459	1.47E-05	1.334913392	0.421531094	1.243555515	1.153219063	0.47479857	1.371982367	0.478862304	0.576395958	1.870023335	0.458449113	0.002295957	0.126869056	0.097272546	0.47266051	0.591235352	0.319160803	0.178462914	1.175949162	0.129866391	1.071519638	0.797865307	3.65E-05	0.349678957	0.460003963	0.15962425	6.95E-05	0.040702736	0.615613232	1.261615055	0.116301172	0.651694563	4.62E-05	5.81E-05	4.666561386	2.615911557	4.078219781	2.784326979
